動画ID,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,これ,さん,すごい,ない,ダイヤ,ハート,ミク,ミリオン,リン,レン,中毒,初見,可愛い,大好き,好き,最高,神曲,脚気,良い
sm10975244,0,0,0,0,0,2,0,0,0,3,0,2,2,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10971662,0,11,0,2,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
sm11049254,0,1,0,0,0,5,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11080597,0,0,0,0,0,6,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sm11139657,0,14,0,2,0,21,2,0,6,0,0,4,0,5,1,0,0,2,0,0,0,0,11,1,1,3,0,1,0,1
sm11146117,0,7,0,1,0,7,0,7,24,1,6,6,1,0,2,0,0,0,0,6,0,0,4,0,7,7,5,0,25,0
sm11086161,0,41,0,5,0,20,3,6,34,3,14,15,10,1,10,0,0,0,0,0,0,0,28,1,4,8,1,0,44,2
sm11151641,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
sm11165729,0,28,0,3,0,9,1,1,5,3,0,1,1,1,2,0,0,1,0,0,0,0,18,0,1,6,1,0,3,2
sm11183729,2,0,0,0,0,4,0,0,2,3,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
sm11237572,21,0,0,8,0,46,3,8,53,15,0,10,13,5,1,0,0,0,0,0,0,2,1,2,6,4,6,0,50,10
sm11240351,0,0,0,0,0,6,1,0,0,27,0,4,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0
sm11244099,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sm11252628,0,0,0,0,0,10,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3
sm11270299,0,0,0,0,0,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11294837,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
sm11325190,0,0,0,4,0,35,3,1,0,77,0,19,2,7,12,0,8,0,2,57,0,2,0,25,3,6,4,0,2,4
sm11398259,0,0,0,0,0,6,1,0,0,2,0,3,0,2,3,0,0,6,0,0,0,0,0,1,0,1,1,0,0,1
sm11407152,0,4,0,0,0,6,0,0,0,0,1,5,2,3,0,0,1,0,0,1,0,1,3,0,1,3,0,1,0,5
sm11409063,0,0,0,5,0,32,12,0,2,4,0,7,24,9,3,0,0,2,0,0,0,1,0,1,6,16,4,0,3,6
sm11412217,0,0,0,0,0,0,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1
sm11398357,90,0,0,44,0,47,5,12,82,4,18,37,13,8,9,0,1,1,2,0,0,2,32,3,43,63,25,17,24,9
sm11477181,0,8,0,1,0,3,0,0,2,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,3,0
sm11589161,0,2,0,0,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sm11641089,6,0,0,21,0,57,8,4,46,6,2,31,6,24,12,0,0,0,1,33,0,8,0,3,6,21,8,4,23,10
sm11760748,0,0,0,0,0,1,0,3,6,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
sm11714132,0,151,0,5,0,54,7,1,2,75,57,31,106,13,5,0,7,3,3,0,0,3,198,16,32,37,8,2,0,12
sm11774439,0,0,0,4,0,4,3,0,0,4,2,13,1,2,2,0,6,4,0,2,1,0,0,1,0,1,0,0,0,2
sm11788815,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sm11849610,0,2,0,0,0,10,2,1,6,2,7,4,15,1,0,0,0,0,0,0,0,0,2,0,3,1,0,0,5,1
sm11879325,0,134,0,3,0,11,0,2,2,0,11,4,2,1,2,0,0,0,0,0,0,10,25,0,3,6,1,1,5,1
sm11964950,0,0,0,0,0,35,9,5,30,5,1,4,2,4,4,0,0,0,0,0,2,0,1,1,1,9,1,0,12,5
sm11970630,42,0,0,3,0,71,14,10,48,11,7,32,6,14,12,0,3,3,2,3,1,33,11,2,12,34,11,7,29,21
sm12041264,0,0,0,1,0,6,6,1,5,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1
sm12090023,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
sm12183265,1,0,0,0,0,1,3,1,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0
sm12177762,0,36,0,0,0,19,4,1,1,5,6,18,3,3,2,0,0,1,0,3,0,1,16,1,8,8,9,3,1,4
sm12253877,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2
sm12264707,41,158,0,2,0,65,37,3,19,1,14,35,26,7,17,767,5,3,0,0,0,13,66,1,28,40,5,6,22,16
sm12339479,0,2,0,0,0,10,2,0,5,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
sm12347529,0,68,0,1,0,14,4,0,0,19,1,2,3,0,0,0,0,7,0,0,0,3,11,2,0,3,0,1,0,1
sm12355109,0,0,0,1,0,5,3,2,1,1,0,13,2,6,3,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
sm12365006,0,0,0,1,0,24,3,0,0,11,1,5,6,5,2,0,0,2,0,1,0,0,0,1,0,3,0,0,0,2
sm12377743,1,0,0,0,0,0,1,1,4,0,0,2,2,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,2
sm12396792,11,0,0,2,0,29,4,7,34,5,3,17,18,9,6,0,0,0,0,1,0,4,0,1,3,9,3,0,47,2
sm12412526,0,14,0,1,0,7,0,0,0,5,0,1,0,2,1,0,23,0,0,9,0,0,7,0,0,2,2,0,0,2
sm12468990,0,0,0,0,0,8,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
sm12476122,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sm12507705,0,0,0,0,0,4,1,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0
sm12527072,2,0,0,0,0,6,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
sm12549171,47,1,0,2,0,78,34,15,97,8,3,24,14,4,6,0,0,2,0,7,0,6,5,1,9,22,7,0,96,7
sm12556756,0,7,0,0,0,8,1,0,0,8,3,3,8,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0
sm12581573,0,7,0,1,0,2,0,0,0,3,0,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
sm12588223,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
sm12595936,0,109,0,3,0,19,8,2,22,0,48,34,36,3,10,0,0,1,0,0,0,41,25,0,25,35,3,1,14,6
sm12616812,3,0,0,0,0,11,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
sm12647084,0,0,0,1,0,22,4,0,8,2,0,2,0,2,3,0,0,0,0,0,0,2,2,0,0,11,0,0,5,2
sm12645546,0,0,0,0,0,24,9,0,1,2,0,6,3,2,0,0,0,0,0,0,2,0,2,1,0,7,0,0,0,3
sm12648576,0,0,0,0,0,3,0,0,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sm12671927,0,2,0,0,0,13,3,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0
sm12718205,0,0,0,0,0,12,5,0,0,11,0,1,1,1,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1
sm12835874,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm12757490,0,0,0,8,0,50,4,12,0,130,4,25,10,4,7,0,9,0,0,1236,0,12,5,27,2,1,5,0,0,2
sm12864126,0,2,0,2,0,20,4,7,28,16,4,28,18,15,10,0,0,2,0,0,0,0,4,7,3,2,3,1,29,1
sm12875825,0,0,0,0,0,1,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
sm12888483,0,0,0,0,0,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,2
sm12894209,62,10,0,30,0,20,16,15,37,13,7,21,14,1,8,31,81,1,168,0,0,9,120,6,14,33,21,6,31,8
sm12929188,0,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sm12957824,0,0,0,19,0,21,3,3,0,92,2,5,7,0,1,0,0,0,0,0,0,0,0,14,2,0,1,0,1,2
sm12967128,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
sm12981881,0,0,0,0,0,5,4,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0
sm12990765,0,0,0,0,0,16,6,0,4,1,0,6,12,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2
sm13087456,0,0,0,0,0,8,4,9,6,1,0,4,3,4,2,0,0,3,0,0,0,0,0,0,0,3,0,1,17,1
sm13101737,0,2,0,0,0,2,0,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,2,2,0,0,2,0
sm13121567,0,0,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
sm13124416,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13207406,0,0,0,0,0,8,2,1,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
sm13269029,0,0,0,0,0,8,2,1,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1
sm13283978,0,0,0,1,0,4,2,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2
sm13304052,21,0,0,5,0,49,6,1,0,60,0,1,0,4,9,0,2,0,0,0,0,1,1,28,7,30,2,0,1,3
sm13306896,0,0,0,7,1,117,26,5,5,77,3,33,28,34,14,0,18,13,1,0,0,11,2,20,15,43,14,6,1,18
sm13355870,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm13361994,0,0,12,10,92,42,6,6,13,69,3,13,10,5,14,0,3,2,22,116,107,0,3,63,28,33,35,2,1,17
sm13523086,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
sm13539726,0,0,0,0,0,3,4,3,13,1,0,1,1,0,1,0,0,0,0,9,7,1,0,0,1,0,2,0,17,1
sm13611637,0,1,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
sm13660306,0,0,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
sm13667717,14,5,0,3,0,20,12,2,26,2,1,9,3,1,1,0,0,1,0,1,0,6,9,1,2,3,4,1,18,2
sm13688764,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
sm13743929,0,0,0,0,0,19,8,0,7,6,0,5,1,4,1,0,0,9,0,17,0,0,0,1,2,9,1,1,2,6
sm13877207,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
sm13828417,0,0,0,1,0,4,0,1,1,4,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
sm13906236,0,0,0,0,0,0,1,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
sm13933448,2,9,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13975932,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
sm13984259,0,0,0,0,0,5,2,2,6,0,0,2,0,2,0,0,0,0,0,0,7,1,0,0,1,2,0,0,5,0
sm13988881,0,43,0,0,0,7,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
sm13991340,0,111,0,0,0,20,7,0,0,1,0,4,2,0,1,0,2,2,0,0,0,0,20,1,2,5,0,2,0,2
sm14011063,0,0,0,0,0,5,1,0,0,4,0,0,1,3,20,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0
sm14019085,0,0,0,1,0,16,5,0,2,2,0,0,0,2,0,0,0,8,0,0,0,1,1,0,0,6,0,0,1,2
sm14023769,0,1,0,1,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14026396,0,4,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sm14129888,0,0,0,0,0,14,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
sm14162938,4,0,0,0,0,3,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1
sm14178212,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sm1418287,0,4,0,1,0,6,0,7,0,1,2,32,1,19,2,0,0,13,0,0,0,0,0,0,1,3,1,0,2,5
sm14270346,24,16,0,2,0,22,10,9,30,3,2,4,3,2,0,0,0,0,0,1,0,0,4,0,2,3,1,0,42,0
sm14188383,0,0,0,0,0,5,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1
sm14274692,4,1,0,1,0,4,0,6,2,0,2,9,5,1,2,0,0,1,0,0,0,3,6,0,3,7,3,0,2,1
sm14300255,2,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
sm14340959,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0
sm14367556,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
sm14407430,1,44,0,0,0,7,2,1,6,0,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0
sm14503375,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sm14535451,0,59,0,8,0,30,19,2,1,131,2,25,4,24,1,0,0,4,0,0,0,10,5,14,4,12,1,0,0,4
sm1459286,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
sm14605161,0,8,0,1,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14619871,6,0,0,0,0,5,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
sm14637044,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
sm14606732,0,0,0,98,0,16,5,1,8,16,1,34,25,5,3,0,0,56,0,0,0,6,0,2,3,8,3,0,11,3
sm14639128,0,0,0,1,0,11,0,0,0,9,1,3,3,1,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0
sm14639413,0,0,0,2,0,12,8,2,0,48,1,1,1,0,11,0,1,0,0,0,1,0,0,9,1,5,1,0,0,2
sm14641461,0,1,0,1,0,31,16,7,18,10,2,16,3,8,4,0,0,0,0,1,0,0,0,3,1,14,2,1,11,5
sm14657185,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0
sm14662292,0,1,0,0,0,3,0,0,2,0,1,3,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
sm14679230,0,0,0,0,0,12,5,2,0,29,0,1,7,2,1,0,1,0,0,0,0,0,0,4,4,2,1,0,0,3
sm14700702,0,0,0,0,0,8,4,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,2
sm14704133,0,0,0,1,0,8,1,1,1,8,0,10,0,1,2,0,0,0,0,0,0,5,0,1,0,2,1,0,1,0
sm14731596,0,0,0,0,0,2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
sm14742092,0,0,0,0,0,2,1,0,0,11,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sm14760181,1,0,0,0,0,18,3,1,6,0,0,4,8,7,4,0,0,1,0,0,1,0,0,0,3,7,0,0,5,4
sm14820593,0,0,0,0,0,8,1,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
sm14829786,4,1,0,1,0,9,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
sm14849770,1,0,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,6,0
sm14864051,0,0,0,0,0,16,4,1,0,3,1,1,1,3,1,0,0,1,0,0,0,0,1,1,0,2,2,1,0,1
sm14891347,2,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
sm14904005,0,0,0,0,0,8,3,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
sm14926860,0,359,676,26,4060,24,4,9,22,4,16,34,55,3,7,0,148,2,7,2,107,6,133,2,32,29,14,2,13,1
sm14934781,0,2,0,31,0,11,0,1,0,0,0,13,2,1,2,0,6,9,0,0,0,3,4,4,1,4,0,0,1,1
sm14945102,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sm15010446,0,0,0,0,0,6,2,1,15,0,0,0,2,1,3,0,0,0,0,0,5,0,0,0,0,3,0,0,9,2
sm14989713,1,9,0,13,0,14,2,3,4,3,1,37,6,3,4,0,0,1,97,0,0,1,41,1,11,8,3,5,1,5
sm15015175,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0
sm15016420,0,24,48,4,258,30,4,11,1,163,10,23,6,6,7,0,229,0,8,47,1,0,46,56,25,31,22,1,0,6
sm15022913,0,0,0,26,0,52,4,1,0,9,14,33,52,16,12,0,2,28,14,0,0,2,25,33,34,52,29,16,1,6
sm15032299,1,0,0,0,0,17,10,1,0,33,0,5,4,3,0,0,0,0,0,3,0,0,0,7,2,5,0,0,0,1
sm15044727,2,0,0,0,0,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
sm15054061,0,23,0,4,0,7,2,5,31,1,2,7,1,1,9,0,0,1,0,8,33,0,0,0,2,2,3,0,37,0
sm15099538,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,0,0
sm15090846,0,2,0,0,0,9,4,0,1,0,0,3,5,1,0,0,0,0,0,0,5,0,0,0,3,0,1,0,0,4
sm15101518,0,1,0,2,0,2,0,2,0,16,0,4,0,0,0,0,0,0,0,4,0,1,1,10,0,0,0,0,0,0
sm15107170,0,18,0,0,0,4,0,0,5,0,1,4,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1
sm15147135,0,0,0,0,0,4,1,0,7,0,0,1,2,2,0,0,99,0,0,0,1,0,0,0,1,0,0,0,4,0
sm15189350,0,0,0,1,0,11,2,1,0,5,0,4,0,3,2,0,0,0,0,0,0,5,0,1,2,7,1,0,0,3
sm15207451,55,291,0,1,0,22,2,2,0,24,4,9,18,3,4,0,5,0,0,0,0,0,54,11,12,5,2,1,0,2
sm15242659,0,7,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15230821,26,0,0,20,0,35,7,3,8,20,6,5,22,7,14,0,6,0,0,0,0,0,2,5,6,22,9,4,4,4
sm15279074,51,0,0,20,0,53,19,15,0,139,5,6,55,6,14,0,3,1,0,2,0,1,0,25,5,13,4,2,0,1
sm15289816,0,1,0,0,0,1,1,1,1,0,1,0,1,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1
sm15318436,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
sm15308214,0,5,0,76,0,32,17,10,14,10,45,38,110,4,12,0,1,2,99,35,2,3,12,4,31,37,17,905,6,9
sm15350132,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm15354560,0,0,0,1,0,4,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
sm15361114,0,0,0,0,0,9,3,2,2,2,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,1
sm15428781,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15430979,3,0,0,0,0,9,0,1,0,11,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
sm15448244,0,0,0,0,0,8,2,0,7,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
sm15470588,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
sm15474540,0,0,0,2,0,6,6,2,0,2,0,2,1,9,0,0,0,3,0,2,0,0,0,1,2,2,1,0,1,1
sm15493390,0,0,0,1,0,0,5,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm15522291,0,0,0,0,0,6,4,0,4,1,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,5,0,0,7,0
sm15522536,0,0,0,0,0,3,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15531021,0,0,0,0,0,5,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,3
sm15533024,0,5,0,2,0,4,1,0,7,0,4,2,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,1
sm15568640,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sm15553296,0,14,0,0,0,8,2,6,18,0,2,2,5,3,5,0,0,0,0,1,0,0,1,0,1,3,0,0,31,0
sm15572522,0,0,0,0,0,12,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sm15652860,0,0,0,0,0,7,1,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
sm15583068,1,5,0,2,0,4,2,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1
sm15676851,32,0,0,15,0,48,5,7,9,184,2,13,5,7,17,0,15,0,1,0,0,0,0,48,13,25,9,0,3,4
