動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
sm12527072,3,1,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
sm12556756,3,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
sm12581573,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm12549171,51,34,5,6,3,94,5,3,0,1,1,0,1,3,3,3,1,1,5,3,0,1,1,0,0,0,0,3,0,2
sm12588223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
sm12616812,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sm12645546,20,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,2,1,2,0,1,0,1,0,0,0,0,2,0,0
sm12647084,13,0,0,1,1,7,0,2,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
sm12595936,16,2,0,1,1,23,3,0,0,1,4,0,5,2,1,5,1,0,7,1,0,1,0,3,0,4,1,5,0,1
sm12648576,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm12671927,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
sm12718205,6,0,0,0,0,0,0,11,2,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,1,0
sm12835874,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12757490,47,1,0,7,3,0,0,127,7,1,3,0,1,4,2,5,1,0,0,4,1,1,25,0,0,0,0,1,0,1
sm12875825,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12864126,12,2,1,2,4,25,0,15,1,0,0,0,0,11,13,7,1,3,3,0,2,3,5,0,2,1,1,1,1,0
sm12888483,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm12894209,15,1,0,6,16,36,2,13,1,1,0,0,1,0,0,5,1,3,8,5,1,0,6,0,1,1,0,3,0,0
sm12929188,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
sm12967128,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm12957824,19,2,0,3,0,0,0,92,6,0,0,0,0,0,1,1,1,0,3,3,0,0,12,0,0,0,0,0,0,0
sm12981881,4,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
sm12990765,5,0,0,0,0,4,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
sm13087456,4,0,0,5,2,5,2,1,0,0,0,0,0,2,0,1,0,0,7,1,0,1,0,0,0,0,0,0,0,0
sm13101737,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sm13121567,3,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sm13124416,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13207406,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13269029,7,0,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13283978,3,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0
sm13304052,36,0,0,1,1,0,0,59,10,1,0,0,1,3,1,5,0,0,2,2,2,0,27,0,0,0,4,1,0,0
sm13306896,80,7,16,4,12,5,0,68,5,5,1,3,1,23,11,9,1,3,11,3,1,1,16,8,0,0,0,6,0,2
sm13355870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sm13361994,35,5,0,6,42,13,0,69,10,1,1,0,3,5,0,11,6,4,10,15,2,1,61,0,0,0,5,13,0,1
sm13523086,1,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
sm13539726,1,0,0,1,0,11,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sm13611637,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13660306,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13667717,15,0,0,0,0,25,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2
sm13688764,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
sm13743929,11,0,0,0,0,6,1,6,0,0,0,0,0,3,0,1,0,0,0,0,1,2,1,0,0,0,0,5,0,0
sm13828417,1,0,0,0,0,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm13877207,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm13906236,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
sm13933448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm13975932,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm13984259,3,3,0,0,0,6,0,0,0,0,1,0,0,2,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0
sm13988881,7,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
sm13991340,12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
sm14011063,4,3,0,0,0,0,0,4,0,0,0,0,0,3,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14023769,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14019085,11,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
sm14026396,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm14162938,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
sm14129888,11,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14188383,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm14178212,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm1418287,4,1,3,7,0,0,0,1,0,0,0,0,2,17,0,2,0,0,0,1,1,4,0,0,0,0,1,2,0,2
sm14270346,18,1,0,0,2,28,1,3,0,0,2,0,0,2,0,0,0,1,7,0,2,0,0,0,0,0,0,0,1,0
sm14300255,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14274692,2,1,1,4,2,2,0,0,0,1,1,5,0,1,0,1,1,0,1,0,0,1,0,13,0,18,0,0,0,0
sm14367556,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14340959,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
sm14407430,5,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sm14503375,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14535451,28,4,1,2,4,1,0,128,6,1,2,1,2,18,0,0,0,0,3,2,0,0,14,0,0,0,2,4,3,1
sm1459286,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14605161,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14606732,9,1,1,1,5,8,2,14,2,0,0,0,0,5,4,0,1,1,3,2,2,0,1,3,0,0,0,3,0,0
sm14619871,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
sm14637044,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm14639128,8,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14639413,11,0,0,2,1,0,0,47,1,0,0,0,0,0,0,11,0,1,1,0,0,0,9,0,0,0,1,1,0,0
sm14657185,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14641461,18,0,0,6,1,14,1,9,0,0,0,3,0,7,5,1,1,1,1,3,0,0,3,1,0,0,0,2,11,2
sm14662292,3,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14679230,5,0,0,2,0,0,0,26,1,0,0,0,1,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0
sm14700702,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14704133,6,0,0,1,1,1,0,7,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
sm14742092,2,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14731596,2,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
sm14760181,14,0,0,0,0,6,2,0,0,0,1,0,0,4,2,2,4,0,3,2,2,0,0,0,0,0,0,1,0,1
sm14820593,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm14829786,6,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
sm14849770,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm14891347,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14864051,13,0,0,1,1,0,0,3,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
sm14904005,7,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sm14926860,18,2,1,8,1,19,3,4,0,1,4,0,3,2,1,5,1,0,5,3,1,0,2,0,3,0,0,1,0,1
sm14945102,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14934781,4,2,0,1,0,0,0,0,0,6,0,0,0,1,0,2,0,2,3,1,1,0,3,2,0,0,0,1,0,0
sm15010446,3,1,0,1,1,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
sm14989713,5,3,0,2,1,4,0,1,0,0,0,0,0,1,0,3,2,1,5,0,0,1,1,2,1,0,0,1,0,0
sm15015175,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm15016420,24,10,0,10,4,1,0,157,10,1,4,0,0,2,2,5,3,1,11,5,2,0,50,1,2,1,0,3,2,0
sm15044727,3,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
sm15022913,14,10,1,1,13,0,0,8,1,0,1,0,3,10,0,6,1,0,9,3,2,1,32,1,0,1,1,2,0,0
sm15032299,14,0,0,1,0,0,0,32,1,0,0,0,0,3,5,0,0,1,2,0,0,0,6,0,0,0,0,1,0,1
sm15054061,6,2,0,3,0,29,2,1,0,0,1,1,0,1,0,6,0,0,5,1,0,0,0,0,0,0,0,0,1,0
sm15090846,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
sm15099538,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15101518,2,2,0,2,0,0,0,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
sm15107170,3,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sm15147135,2,0,0,0,0,6,1,0,0,0,1,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
sm15189350,6,2,0,1,0,0,0,5,0,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm15207451,16,1,0,2,2,0,0,24,0,0,0,0,0,1,0,1,0,0,1,0,0,0,9,0,0,4,0,0,1,0
sm15242659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm15230821,20,4,2,2,2,8,2,19,1,0,3,1,0,5,0,13,2,0,8,18,0,0,5,2,0,0,1,3,0,0
sm15279074,44,2,0,12,1,0,0,135,10,4,1,0,1,1,4,11,2,0,5,0,1,0,25,0,1,3,0,1,0,0
sm15289816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
sm15318436,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm15308214,20,9,1,2,1,12,1,6,1,5,6,2,2,1,0,8,1,0,6,4,2,0,3,7,3,0,2,1,1,1
sm15350132,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15354560,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
sm15361114,4,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sm15428781,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15430979,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
sm15448244,2,0,0,0,0,6,0,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
sm15470588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15474540,2,0,0,1,0,0,0,2,0,0,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sm15493390,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15522536,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sm15522291,5,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
sm15531021,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1
sm15533024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
sm15553296,8,0,0,2,1,16,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sm15568640,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15572522,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sm15652860,7,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sm15583068,3,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
sm15676851,40,3,0,6,7,9,0,177,9,1,2,0,0,4,1,17,2,1,6,4,0,0,42,1,0,0,0,2,0,3
