動画ID	再生数	コメント数	マイリスト数	C1(堂々)	C2(元気が出る)	C3(切ない)	C4(激しい)	C5(滑稽な)	C6(かわいい)	Valence	Arousal
sm12647084	59318	1566	2926	2.3333	2	4	3.3333	2.3333	1	0.6667	-1.3333
sm12648576	7517	224	523	2.6667	2	2.6667	3	2.6667	2.6667	1	0
sm12671927	13226	453	679	2.6667	2	4	1.6667	2	4	-1	0
sm12718205	41968	1356	2619	2.3333	3.3333	2.6667	1.6667	2	3.3333	-0.3333	1
sm12757490	301502	10892	11149	4.6667	4.6667	1	2.3333	2.3333	4.3333	0.6667	1.6667
sm12835874	8524	212	468	3.6667	3.6667	2	2	1.6667	3.6667	-0.3333	1
sm12864126	215991	5685	11287	2.6667	1.3333	4.3333	3.6667	2	1.6667	1	-1.3333
sm12875825	29714	632	1751	1.6667	1.3333	3.6667	2.3333	3	1.3333	-1.3333	-1.6667
sm12888483	9891	419	505	2.6667	2.3333	2.6667	3.3333	3.3333	1	0.3333	-0.3333
sm12894209	1634613	27694	63681	3	2.6667	3	3	2.6667	1.3333	0.3333	-0.3333
sm12929188	5072	149	257	3	1.3333	4.6667	3.6667	2.6667	1.3333	0.6667	-1
sm12957824	120793	2512	6387	4.3333	4.6667	1	3	2.3333	4	0.6667	1.6667
sm12967128	7802	211	479	3.6667	1.6667	3	4	1.6667	1.3333	1	0
sm12981881	12439	450	752	4	4.6667	1.6667	3	3	4.3333	0	1.6667
sm12990765	49410	1018	1467	3.3333	2.6667	1.6667	1.6667	3.3333	2.3333	0.3333	0
sm13087456	86320	1898	4701	1.6667	1.3333	3.6667	3.6667	2	2	1	-1
sm13101737	11189	744	675	2.3333	2	3.6667	3	4.6667	3	-0.6667	0.6667
sm13121567	5383	531	188	4	4.3333	1.6667	3	2.3333	4	0.3333	1
sm13124416	12534	316	675	3.6667	4	2.3333	1.3333	3.3333	3.3333	-0.6667	0
sm13207406	9173	269	509	2.6667	1.3333	4.3333	4.6667	1.6667	1.6667	1.6667	-1.3333
sm13269029	24402	614	1320	2.6667	2	4	2.6667	1.6667	1.3333	0	-1
sm13283978	16544	581	853	4	3	1.6667	4.3333	1.3333	1	1.3333	0.3333
sm13304052	1991195	51631	74001	3.6667	3	3.6667	3.3333	4.6667	2.3333	0.6667	0
sm13306896	673980	11984	31344	4	3	3.6667	2.3333	3.6667	2	0.6667	-0.6667
sm13355870	9405	230	603	2.6667	2	1	4.6667	1.6667	2	1.6667	0.6667
sm13361994	964057	34436	38209	3.3333	3.6667	1.6667	2	3	3.6667	0.3333	1.3333
sm13523086	3591	316	22	2.6667	1.6667	4	2.6667	4.3333	1.3333	0.6667	-1.3333
sm13539726	43271	1311	2391	2.6667	2.3333	1.3333	4	3	1.3333	1.6667	1
sm13611637	14906	381	803	2.75	1.75	3.75	3.5	2	1.25	0.25	-0.75
sm13660306	12323	293	593	2.3333	2.6667	3.6667	1.6667	1.3333	3.3333	-0.3333	0
sm13667717	85326	3428	5076	2.6667	2.6667	2.3333	2.6667	5	2.6667	-0.3333	1
sm13688764	22416	250	889	2	3	3.6667	1.6667	2.3333	4.3333	0	0.3333
sm13743929	40715	1090	2320	2	1	4	2	2.6667	1.3333	-0.6667	-0.6667
sm13828417	15073	478	841	2.6667	3	2	1.6667	3.3333	3	-0.3333	0.6667
sm13877207	15241	286	1044	3.6667	4.3333	1.3333	1.3333	3.3333	4	-0.3333	1
sm13906236	16374	407	874	3.6667	4	1.3333	3	4	4.3333	0.6667	1.6667
sm13933448	8061	207	490	1.6667	2	3	1.6667	2.3333	2	-0.6667	-0.6667
sm13975932	10833	339	420	2.3333	2	3.3333	1.3333	1	2.3333	-0.6667	-0.3333
sm13984259	9792	761	596	2	1.3333	4.6667	3	2.6667	1	0.3333	-1.3333
sm13988881	20594	459	761	3.6667	3.6667	1.6667	1.3333	1.3333	3.3333	-0.6667	0.3333
sm13991340	65217	1577	3327	2.3333	2.6667	3	1.6667	1	3.6667	-1	0.6667
sm14011063	19782	516	1181	2	2.3333	2.3333	1.6667	3.3333	4	0	0
sm14019085	52456	918	2397	2.6667	3.3333	2.3333	1.6667	2	3.3333	-0.3333	1.3333
sm14023769	12381	212	580	3	2.6667	1	1.3333	5	3.6667	0	0.6667
sm14026396	8610	226	508	1.6667	1.3333	4.3333	1.6667	2.3333	2.6667	-0.3333	-1
sm14129888	33556	738	1505	3.3333	2.3333	3.3333	3.6667	2.3333	2.3333	0.3333	-0.3333
sm14162938	18049	646	772	3	3.3333	2.3333	1	1.3333	3.6667	0	1.3333
sm14178212	5204	240	274	3	2.6667	2.6667	2	2.6667	3	0	0.6667
sm1418287	73021	1559	2030	2.6667	1.3333	4.3333	1.3333	2	2.3333	-1.3333	-1
sm14188383	11912	277	693	3.3333	3	2	3	3.3333	2	0.3333	0.6667
sm14270346	103672	2820	5450	3	1.3333	4.3333	3	1	1.6667	0.6667	-1.3333
sm14274692	28077	1917	764	2.6667	2	3	4.3333	3.6667	1	1.3333	-1
sm14300255	10628	212	598	2.3333	3	2.6667	2.6667	2	3.3333	0	1
sm14340959	10590	340	619	2.6667	4.3333	1	2	3.3333	5	-0.3333	1.6667
sm14367556	8134	267	561	1.3333	1.6667	3.6667	1.6667	4.3333	1.3333	0.3333	-0.6667
sm14407430	11392	402	703	3.6667	3.3333	1.3333	2.6667	1.3333	1.6667	1	1
sm14503375	6762	237	418	3.3333	3	3.3333	3	2.3333	3.6667	0.3333	0.6667
sm14535451	135612	6471	5587	4.3333	5	1	3.3333	3.6667	4.6667	0.3333	2
sm1459286	12352	404	250	2.3333	2.3333	1	1	5	4	-0.3333	1
sm14605161	9668	361	535	2.6667	2.3333	2.3333	2.6667	1.3333	2	0.6667	-0.3333
sm14606732	379724	20333	16969	3	2.6667	2.3333	3	4.6667	2	1	0
sm14619871	9575	231	477	2.6667	3	3.6667	3.6667	1	2	0.6667	-1
sm14637044	9163	388	497	2.3333	1	3.6667	3.6667	2	1	1	-1.6667
sm14639128	22546	1028	889	2.6667	3.3333	3.3333	1.6667	1.3333	2.6667	-0.6667	0
sm14639413	22442	883	943	4	4.3333	1	2	2.3333	4	0.3333	1.3333
sm14641461	240523	6894	12965	3.3333	1	5	4.6667	1.3333	1.6667	1.3333	-2
sm14657185	17599	580	1022	1.6667	2.6667	3.6667	1	1.3333	2.3333	-1	0
sm14662292	12445	292	751	3	1.6667	1.6667	2.3333	3.6667	1	0.3333	0
sm14679230	52770	1825	3212	4	4.3333	1	3	3	3.3333	0.3333	1.6667
sm14700702	23650	583	1429	2	3	3	2.3333	2	4	-1	0.6667
sm14704133	37551	1271	2368	3.6667	4	1	3.3333	4.6667	2.6667	0.3333	1
sm14731596	7678	348	486	3	4	1	2.3333	3	4.6667	0	1.6667
sm14742092	12188	414	796	4.25	4.75	2	2.75	2.25	4.25	0.75	1.75
sm14760181	103503	2259	5687	2	1.6667	3.3333	1.3333	2	2.3333	-0.6667	-0.3333
sm14820593	12122	431	598	2	2.6667	3.6667	1.3333	2.6667	2.6667	-0.6667	0.3333
sm14829786	9865	338	614	2.6667	3.3333	2.6667	2.3333	3	4.6667	-0.3333	1.6667
sm14849770	18689	494	1075	3.3333	1	2.6667	4.6667	3.6667	1	2	-0.3333
sm14864051	57347	1583	3550	1.3333	2.3333	3	2	1.6667	3	-0.6667	-0.3333
sm14891347	12757	395	792	1.6667	1	4.6667	2	3	2.3333	0.3333	-0.3333
sm14904005	9943	344	749	3.3333	2.3333	3.3333	3	3	1.6667	0.3333	0.3333
sm14926860	623761	23446	35221	3.6667	3	2.3333	2	4.3333	1.3333	-1	0.3333
sm14934781	273125	17458	9877	2.3333	2.3333	2.6667	4.3333	3.6667	2.6667	0.6667	0
sm14945102	2300	151	146	3.6667	3.3333	2	1.6667	3	4.3333	0	1.6667
sm14989713	1027919	58892	46876	2.3333	2.6667	4.3333	1	1.3333	2.3333	-0.6667	0
sm15010446	31340	1396	1955	4	2.6667	3.3333	4.6667	2.6667	1	2	-1
sm15015175	9066	249	461	3.3333	1.3333	3.6667	4.3333	3.6667	2	1.6667	-1.6667
sm15016420	696491	20415	31201	3.6667	4	1	2	3	5	0.3333	2
sm15022913	2149571	56600	96233	3.75	3.5	2.5	1.25	2.5	3.25	-0.75	0.5
sm15032299	65055	1510	4170	3	3.3333	1.3333	1	2	4.3333	-0.6667	1.3333
sm15044727	19566	522	1301	2.6667	1.6667	4	4	2	2	1.3333	-1.3333
sm15054061	66268	3353	3690	2.3333	3	3	3	2.6667	1.3333	1.3333	0
sm15090846	26117	453	1042	3	3	3.3333	2.6667	3.3333	1	0	0
sm15099538	3388	273	191	2.3333	1.3333	4	3	1	2	-0.3333	-1
sm15101518	9051	322	569	3.3333	4.6667	1	1.6667	4	4.6667	0.3333	1.6667
sm15107170	15379	406	802	3.3333	1.3333	2.6667	3.3333	2.6667	2	1	-1
sm15147135	12971	403	790	3	3.6667	1.3333	4.3333	3	1.3333	1.3333	0.6667
sm15189350	26291	716	1144	4.3333	4.6667	1	2.6667	4.6667	3	0.6667	1.3333
sm15207451	126768	5089	7051	3.3333	3.6667	1.6667	2	2	4.3333	0	1
sm15230821	1685313	53737	76909	2.6667	2.6667	3	2	1	2.6667	-1	-0.6667
sm15242659	4501	236	257	3.6667	4.3333	2	3.3333	2.6667	3.6667	0.3333	1.3333
sm15279074	270746	12141	14168	4	4.6667	1	2.3333	1.6667	4	0.3333	1.6667
sm15289816	12663	426	596	1.3333	1	4.6667	1.6667	2.6667	2.3333	-0.6667	-1.3333
sm15308214	2258066	130119	88629	3	1.3333	4.6667	4.3333	3	1.3333	1.6667	-1.3333
sm15318436	16085	540	1053	3.6667	2	2	4	2.6667	1.3333	1.3333	0.3333
sm15350132	4836	305	215	2.6667	3	1.6667	1.6667	3.3333	2.3333	-0.6667	0
sm15354560	19056	267	1073	2.6667	3	2	1	3.3333	3.3333	-0.3333	0.6667
sm15361114	15332	461	885	3	1.3333	4.6667	4.6667	2.6667	1.6667	1.6667	-0.6667
sm15428781	6687	210	289	1.3333	1.3333	3.3333	2	3	1.6667	0	-0.6667
sm15430979	11225	502	731	4	4	2.3333	3.3333	1.6667	4.3333	-0.3333	2
sm15448244	22546	1159	1607	2.3333	1.6667	4.3333	4	2.6667	1.3333	-0.3333	-0.3333
sm15470588	7207	613	221	2.6667	3	1	2.3333	2.6667	2.3333	0.3333	1
sm15474540	50636	1223	3140	3.3333	3	3	2	2.6667	4.3333	1	0.6667
sm15493390	6747	390	381	4	4.3333	1.3333	2.6667	4.3333	4.6667	1	1.6667
sm15522291	26491	533	1588	3	2.6667	3.6667	3.6667	2.6667	2	0	0
sm15522536	15593	416	588	3	3.6667	2.3333	2	2.6667	3.6667	-0.6667	0.6667
sm15531021	21972	795	1325	2	1	4.6667	2.6667	3	2.3333	-0.6667	-1
sm15533024	17249	562	831	1.6667	1.3333	3	2	1.3333	1	-0.3333	-0.3333
sm15553296	52581	1371	2603	3.75	2.25	3	4.5	2.5	1	1.25	-0.25
sm15568640	6996	231	463	1.6667	2.3333	2.3333	2.3333	1.6667	2	0.3333	0
sm15572522	6677	237	362	2	1.6667	3	2.6667	1.6667	2.6667	0.6667	-0.6667
sm15583068	10399	320	528	3.3333	2.3333	2	2.3333	3.6667	1.6667	-0.3333	0.3333
sm15652860	15427	372	989	1.6667	2.6667	2	1	2.6667	3.3333	-0.3333	0.6667
sm15676851	418498	14394	24689	4	4.3333	1.6667	1.3333	2	4.6667	-0.3333	1.3333
sm15686024	16347	663	1006	3.3333	4.3333	2.6667	2	3	4	1	0.6667
sm15686051	4567	273	240	4	4.3333	2.3333	3.3333	3.3333	3.6667	0.3333	1
sm15696369	8576	238	442	4	4.6667	1.6667	2	2	3.6667	0.3333	1
sm15714327	13190	1203	674	4	3	2.6667	3.6667	2	1.3333	1	-0.6667
sm15719556	221018	5321	12059	3.6667	3.6667	1.6667	1.3333	3.3333	4.3333	0	1.6667
sm15719565	25639	905	1248	2.6667	2.6667	3.3333	4	2.6667	3.3333	0	0
sm15741427	6305	231	400	3.3333	2.6667	2.6667	3.6667	3.6667	2	1	0.6667
sm15751190	4506043	360398	132194	2.6667	2.6667	3.3333	2.3333	2.3333	2	0	0
sm15789837	12644	265	943	3.6667	2.6667	3.3333	2	2	3	-0.3333	0.6667
sm15800552	18997	611	867	3.3333	4	4	3	3.3333	2.6667	-1	0.6667
sm15815944	12048	553	533	3.3333	3.6667	1.6667	2	2.6667	2.6667	0	0
sm15825105	10784	515	101	2.6667	3	2	2.6667	5	1	0.3333	0
sm15841119	10418	296	543	4	3.3333	1.6667	3	1	1.3333	0.6667	1
sm15844332	6572	234	508	2	2	4	2.3333	1.3333	1.6667	0.6667	0
sm15853580	8586	244	359	3.3333	2.3333	3	3	2.6667	1.6667	0.6667	-0.3333
sm15875228	82736	1690	5515	3.3333	3.6667	2.3333	1.3333	2.6667	3.6667	-0.3333	1
sm15922203	24248	629	1738	2.6667	2	3	2.6667	1.3333	1	-0.3333	-0.3333
sm15933955	10007	392	677	3	3.3333	3.3333	1	2.6667	4.3333	-1	0
sm15942116	4834	254	296	2.6667	3	2	1.6667	1.3333	4.3333	-0.3333	1.3333
sm15955450	15080	750	954	3.3333	3	4	4	4	2.6667	1.3333	0.3333
sm15970184	4295	286	250	3.75	2	4	3.25	2.25	2	0.5	-0.75
sm15980251	30304	2022	1501	3	2.6667	1.3333	1	5	2	-0.3333	1.3333
sm15987636	15464	499	917	2	1.3333	4	4	2	1	0	-1.3333
sm16007598	7390	465	229	4	3	3	3.6667	3	3	0.3333	0
sm16011363	227558	6668	13774	3.6667	1.3333	4.6667	4.3333	2.3333	1.6667	0.3333	-1.3333
sm16049992	71926	4042	4513	3.3333	4.6667	3.3333	2.3333	2	4.6667	0.6667	1.6667
sm16065869	5340	208	550	2.3333	4	2.6667	2	2.3333	4	-1.3333	0.3333
sm16069888	9534	209	794	3.6667	3.6667	1.6667	1	3.6667	3.3333	-0.3333	1
sm16070272	12336	338	715	3	2	3.3333	4	1.3333	1	1	-0.6667
sm16076097	8235	358	493	3.6667	3.3333	2.6667	2	1.6667	2.3333	0	1.3333
sm16079453	13485	508	641	4	3.6667	1.3333	3	3.6667	3	1	1.3333
sm16085344	9792	253	714	2	2	3.6667	1.6667	1.3333	3.3333	-0.3333	-1
sm16137694	21634	307	1396	3.6667	3.3333	2	2.3333	3	4.3333	0.6667	1
sm16187258	16243	487	1041	2.6667	2.6667	1.6667	3.3333	2	1	1.6667	0
sm16201802	13801	586	1116	4	4	3.3333	2.6667	2	4	-0.3333	-0.6667
sm16229812	16770	627	898	2.3333	2	2.6667	2.3333	1.3333	2	-0.3333	-0.3333
sm16231559	57193	1957	4032	3	2.6667	1.3333	3.3333	3.3333	1.3333	0.6667	0.3333
sm16238717	705510	20877	33137	3.6667	2	3.3333	4	3.6667	2	1	-0.3333
sm16253955	4993	243	340	4	1.6667	3.6667	3.6667	2.3333	2.3333	1	-1
sm16258483	7861	209	404	4.3333	4.3333	1.3333	2.3333	4	3.3333	0	1.6667
sm16309692	12884	282	899	1	1.6667	4.3333	1	1.6667	3	-1	-1.6667
sm1632617	39096	949	1394	1.6667	2.6667	4	1.3333	2.3333	2.3333	-1.6667	-0.3333
sm16352396	10605	434	638	2.3333	1	5	3.6667	1	1.6667	1.3333	-1.3333
sm16353783	485801	9686	22176	3.6667	4	1	2	3	3.3333	0	1.3333
sm16366329	363097	17208	21418	4.3333	4.3333	2.3333	2.3333	1.6667	4.3333	-0.3333	1.6667
sm16386722	7818	250	484	4	4	2	2.6667	2.6667	3.3333	0	1.3333
sm16387915	25968	857	1457	2	1	4	3.3333	1	1	0.3333	-1
sm16405963	317370	8169	13673	3.3333	3.3333	1	3	4.3333	3	0	1.6667
sm16409992	10860	228	662	1.6667	2.6667	3.3333	1.6667	4	2	-0.3333	0.3333
sm16448432	11099	327	613	3.3333	3.3333	3	4.3333	3	2.3333	0	1.3333
sm16475295	9693	351	508	2.3333	1.3333	3	3.6667	2.3333	1.3333	0	-0.6667
sm16493013	7355	245	213	4	3	1.6667	4.3333	4	3.3333	1.6667	0.3333
sm16496406	9150	665	319	2.6667	2.3333	3.6667	1.6667	1.6667	3	-0.3333	0
sm16527005	12843	382	621	2.6667	2.3333	3.3333	4.3333	2	1.6667	0.6667	0.3333
sm16559290	12793	240	808	4.3333	5	1	1.6667	4.6667	5	-0.3333	1.6667
sm16583264	23049	872	1227	3	3	3.6667	3	2	2.3333	0.3333	-0.3333
sm16588541	20471	617	1096	2.6667	2.3333	3	2.6667	2	2	0.6667	-0.6667
sm16641667	15363	436	793	1	1	1	1	1	1	0	0
sm16659931	103121	3489	5565	2.3333	2	4	2.3333	2.6667	3	-1.3333	0
sm16670262	22680	1134	1450	3.6667	4.6667	1.6667	2.6667	2	3.6667	0.3333	1.6667
sm16681219	22509	225	1357	2.6667	3	2	2	4.3333	1.3333	0	0
sm16693218	521472	12304	24317	3	3.3333	1	4	4.3333	2.3333	1	0.6667
sm16707821	20323	566	1173	3.3333	3	3.3333	1.6667	3.3333	3.6667	-0.3333	0.3333
sm16719809	1123048	35754	53982	4.6667	4.6667	1	1.6667	3.6667	5	0.3333	2
sm16729081	46001	710	2405	4	4.6667	1	1	4.3333	4.3333	-0.3333	1.6667
sm16734827	29584	822	1745	2.3333	2.3333	3	2	1.6667	2.3333	-0.6667	0
sm16735237	8157	253	344	1.3333	1.3333	3.6667	2.3333	1.6667	1.3333	-0.3333	-0.6667
sm16763060	316069	26630	18189	1	1	1	1	1	1	0	0
sm16765671	66504	2163	4328	4	3.3333	2	5	2.3333	1	1.6667	0
sm16768902	17148	502	801	4.3333	5	1	4.3333	5	4	0	1.6667
sm16769854	36178	1027	1855	2	1	3.6667	3	2.3333	1	1.3333	-1.3333
sm16770185	17292	445	1058	3.6667	3.6667	3.3333	2.6667	1.3333	3.6667	0.3333	0
sm16772333	17827	342	658	4.3333	4.3333	1	2	2.6667	4.3333	0	1.6667
sm16772487	34271	1059	1890	3	3.3333	2	3	3	2.3333	1	0.3333
sm16799739	17415	418	995	4.3333	3.6667	2	3.6667	3.3333	2.3333	1.3333	1.3333
sm16800139	8450	297	493	3.3333	1.6667	3	3.3333	1.6667	2.3333	1	0
sm16825773	10053	274	508	3.6667	2.3333	2	4	3.6667	1.6667	1.3333	0
sm16827089	20556	630	1400	3.3333	2.6667	3	4	4.3333	2	0.3333	0.3333
sm16833058	60799	965	4001	4.3333	4.3333	1	1.3333	2.3333	4.3333	-1	1.3333
sm16844849	328387	5833	19738	4	4.3333	1.6667	2	2.6667	5	-0.3333	2
sm16846374	2427106	77583	83031	4.3333	4.6667	1.3333	3.3333	3.3333	4.6667	0	1.6667
sm16859428	409918	9042	19324	3.3333	3	2.6667	2.6667	4.3333	3.3333	0.3333	1
sm16913043	7758	291	375	3	2.3333	2.6667	2.3333	2.6667	1.6667	1	-0.3333
sm16969007	129200	5545	5957	3.5	3.5	3.25	2.75	2.25	4.25	-1.25	0.75
sm16973327	951966	21614	43277	3.6667	2.3333	1.6667	3.3333	3.6667	2.6667	0.6667	0.3333
sm16980824	62631	1604	2904	2.3333	1.3333	3.6667	3.3333	2.6667	1	1.3333	-0.6667
sm17015301	24488	560	1275	3.6667	4	1	1.3333	3	4.3333	-0.6667	1
sm17020500	33732	640	1387	3	2.6667	3.6667	3.3333	2	1	1.6667	0
sm17067188	7430	310	412	1.6667	1.6667	3.6667	1.3333	2	2.6667	-1.6667	-0.6667
sm17092280	11479	284	686	3.3333	3.6667	2.6667	2.3333	2.3333	3.3333	0.6667	1
sm17112691	118955	3840	5980	4.3333	4	3	2.3333	2.3333	3.6667	0.3333	0.3333
sm17134469	26593	942	1763	4	4	2.3333	2	2	3.6667	-0.3333	0.6667
sm17142789	740071	29274	42443	4.3333	5	1	1.6667	2	3	0.6667	1.6667
sm17147346	13465	754	652	2.6667	3	3.3333	2.3333	1	3.6667	-1.3333	0.3333
sm1718025	48514	2349	781	1.3333	2.6667	1.6667	1	4.3333	2.3333	-0.6667	0
